Sample Time MS,Sample Cycles,Interesting Time MS,Interesting Cycles,Q Sort Time MS,Q Sort Cycles
247,789137,245,782252,87,279022
236,754327,239,761217,86,274702
242,773405,221,705529,88,281394
240,767217,227,724816,86,275209
240,763491,272,866711,87,277506
235,750335,228,729145,85,270661
235,748544,262,835427,85,272684
236,750739,234,748651,86,274366
256,814756,251,799874,85,270117
258,825450,261,833118,87,275977
268,856037,259,824831,92,296113
258,824840,238,759016,86,272166
219,698276,257,819905,87,279759
434,1385118,252,804904,86,273508
222,709098,248,793466,88,281021
302,965929,236,753371,89,281350
277,882097,223,713404,87,277410
249,794198,242,772085,85,271081
306,977818,342,1089929,88,282039
327,1043917,365,1161274,111,354328
292,933497,287,913853,88,279625
267,852334,258,823502,89,283580
295,941654,255,811774,86,275056
258,821803,239,764266,88,280397
291,928455,231,736419,83,267481
240,765385,233,745981,86,274935
239,764517,226,720473,86,272528
232,738233,237,757714,83,266500
223,712632,237,754076,86,275270
229,729930,254,811593,86,275679
231,736697,241,767309,92,292787
225,717132,237,757453,87,276455
236,753251,238,760176,84,268434
245,781606,244,777629,86,274441
225,720537,222,707161,88,279598
248,789647,283,903219,96,307156
237,756290,226,721088,101,322801
448,1431233,238,757195,86,275441
247,787332,254,809077,87,276961
242,773639,324,1033482,94,300678
225,719635,253,809081,86,275260
276,880134,268,852798,89,281787
250,796227,242,771072,85,272664
267,851124,284,907026,87,276295
280,896265,322,1029237,87,278451
390,1244993,301,960838,85,270529
300,957179,311,993393,87,279403
259,826545,251,801677,85,273277
324,1033714,265,846835,86,276368
344,1099580,243,775249,88,278039
233,742756,246,786701,85,273556
245,781417,255,811979,86,273168
232,742853,234,747025,86,272562
223,709724,230,735375,87,277051
228,728005,247,789982,86,276610
231,736916,254,811032,85,270482
227,724275,243,775080,86,275155
228,728737,232,738531,85,271197
233,745794,245,780063,86,272090
216,690002,244,778494,86,274736
238,759019,245,782252,94,299135
277,885184,253,807005,86,276556
391,1245333,302,962849,100,320480
296,944906,232,739097,86,275331
321,1023691,414,1322917,260,829757
438,1399424,489,1561602,261,830965
410,1307942,266,848689,87,277612
249,794844,325,1039416,86,273454
318,1015848,373,1192496,170,542875
318,1016721,238,759052,87,279139
279,890306,273,871680,86,273668
289,922962,255,812980,149,474778
275,879191,227,724290,86,276342
240,767918,232,739365,85,270792
227,726057,230,733707,85,273329
239,764029,241,770298,87,279911
231,739130,254,811159,86,274272
224,715681,234,746926,88,280678
234,747837,242,773010,86,276547
237,757129,236,750314,87,276241
232,741459,236,754491,84,269814
227,725334,240,765622,85,271288
231,737332,242,770078,86,273382
228,727838,235,749802,86,272175
228,727520,238,758739,86,275953
247,785774,285,911876,105,335416
310,990997,258,822907,86,273299
259,828838,339,1082118,87,278301
281,896128,255,814629,129,411827
303,967946,264,844717,88,279830
253,807761,277,883604,89,284487
319,1018063,250,796863,86,275630
248,790791,236,752653,91,288511
235,748965,277,884805,86,275264
431,1374876,347,1108934,89,283393
297,947887,273,871184,85,272737
288,919568,349,1112888,86,273829
253,806083,276,880116,88,280566
287,917337,254,809802,85,270014
248,790643,218,693782,86,274205
242,773075,228,727056,86,275612
249,792186,235,748806,85,271135
235,749644,239,762539,87,275991
270,859837,245,783082,88,278794
230,734627,261,831002,87,276553
236,751510,233,741584,87,277660
237,756369,225,717889,85,272243
238,757486,222,708134,85,270709
235,748302,240,763684,86,274788
245,780075,231,736403,93,295624
221,705684,237,757304,111,354936
225,717225,235,747565,87,278827
279,890433,280,894252,88,277861
277,886619,234,749477,87,279296
244,778271,242,770023,122,389336
426,1359306,402,1282515,85,274071
285,908888,270,861854,87,277644
293,936703,250,796997,85,272315
247,787639,264,839921,87,278264
385,1227402,368,1176393,91,290730
268,855248,278,888643,85,270596
425,1356507,310,988319,116,370079
275,877069,267,852397,85,272275
305,972932,235,748431,87,277245
264,841620,235,751859,87,279751
241,768911,249,793193,84,268803
242,772100,248,792638,86,275409
335,1070525,228,725396,86,272924
225,718301,237,756198,87,276325
235,751684,249,797145,86,275846
238,760601,239,763066,85,270233
221,705857,242,771938,86,274135
224,714168,235,752054,84,268390
247,789355,259,827272,85,270002
246,786175,236,754602,86,275266
240,766005,236,753859,94,299126
283,903332,288,917885,87,278526
295,943574,252,804950,87,278389
375,1197460,380,1211834,235,751430
460,1466639,246,783421,88,280056
239,763694,246,785629,87,276960
290,924052,237,755784,88,280298
232,739375,246,785042,85,272843
261,832804,338,1078892,91,288448
312,995374,335,1070350,88,279615
355,1133046,305,974217,85,273277
281,897647,259,828699,84,269049
232,741825,246,786760,87,276742
290,924247,258,823716,84,268729
241,768820,249,794272,88,280453
240,766604,223,710158,87,276167
245,779535,246,785557,86,274867
218,694796,233,744983,86,274721
234,747146,251,802067,86,273912
233,743190,221,705238,88,280461
245,782596,230,733320,84,269595
243,776192,243,775856,84,269212
238,761207,239,762294,85,274203
241,769248,242,772898,85,269984
247,789945,243,774223,87,275608
230,734307,246,786038,90,289353
231,736456,249,794296,85,270689
261,832108,271,867527,86,273893
314,1002693,279,890101,85,270945
333,1061376,277,884024,87,279048
237,756911,336,1071281,109,347015
251,802014,240,765288,88,279463
327,1043039,317,1009462,89,282659
273,872731,240,767007,85,271756
272,867416,241,767920,87,278597
487,1554693,276,880306,86,274480
309,987932,264,842996,84,269585
260,830242,327,1045858,91,290772
272,867365,241,770082,86,273078
294,937289,273,871025,87,276282
290,926962,235,748474,87,277535
292,932181,229,730212,84,270064
227,722528,249,793450,87,276796
230,732566,249,796815,88,280195
239,764349,224,713368,87,278117
226,723629,238,760452,87,278538
253,806238,232,741269,85,270802
233,744042,252,805575,87,276348
233,742837,235,752274,85,271179
247,787868,234,743953,87,277357
247,785316,250,796242,91,291178
240,766741,232,738859,86,272219
245,782355,295,943456,86,275060
263,840241,251,801153,86,276229
439,1400893,240,766382,86,276817
217,691172,364,1159945,259,826734
250,798983,262,836514,86,273234
320,1020495,272,868428,89,283554
284,904162,245,783743,90,285829
256,815344,229,730728,154,488904
322,1028977,295,941463,91,289271
294,939377,262,836396,87,278341
365,1163903,305,973661,89,283645
295,940975,265,845013,88,279862
310,988349,261,832582,91,288818
310,990109,242,770874,85,269355
229,731655,236,752796,86,275274
250,799852,239,762020,86,273827
223,710814,237,756911,87,277529
223,710673,241,766429,86,273446
223,712743,232,738410,85,271541
245,782687,254,810732,86,273224
244,780415,235,751398,84,270038
227,725438,232,739948,85,272853
248,790096,223,712731,86,275169
242,774290,233,741806,94,298510
232,737779,235,750019,87,277085
227,723995,248,793154,108,346390
224,715383,275,878436,144,462510
294,937509,268,854289,135,428601
353,1124030,234,746984,85,270361
253,809631,531,1696361,259,826061
403,1285141,437,1397554,258,822622
342,1092585,259,826186,86,276439
260,829527,270,863160,97,309524
373,1190154,268,853664,86,275282
324,1036263,259,826524,85,272400
235,750513,280,894371,87,279607
276,882193,241,768936,86,275641
253,806708,262,834853,87,277639
238,760627,231,737672,89,286283
231,740050,257,819389,87,276994
224,712505,224,713574,86,277289
237,757381,234,748050,86,276171
223,712710,244,776982,86,273383
237,755682,250,800440,84,269512
233,741836,258,823709,83,267226
235,749389,239,762467,86,276843
242,773881,247,788572,83,266460
234,747494,230,733640,86,272726
216,689575,245,779532,93,296709
241,768720,231,738161,84,270074
357,1138391,273,868065,105,334995
268,855943,247,785891,85,272081
